,Time,Date,AQI
186,22:30:00,2023-02-02,146.94444444444446
187,22:45:00,2023-02-02,148.47222222222223
188,23:00:00,2023-02-02,149.16666666666666
189,23:15:00,2023-02-02,149.86111111111111
190,23:30:00,2023-02-02,150.55555555555554
191,23:45:00,2023-02-02,151.25
192,00:00:00,2023-02-03,151.63888888888889
193,00:15:00,2023-02-03,152.02777777777777
194,00:30:00,2023-02-03,152.41666666666666
195,00:45:00,2023-02-03,152.80555555555554
196,01:00:00,2023-02-03,152.88888888888889
197,01:15:00,2023-02-03,152.97222222222223
198,01:30:00,2023-02-03,153.05555555555554
199,01:45:00,2023-02-03,153.13888888888889
200,02:00:00,2023-02-03,152.86111111111111
201,02:15:00,2023-02-03,152.58333333333334
202,02:30:00,2023-02-03,152.30555555555554
203,02:45:00,2023-02-03,152.02777777777777
204,03:00:00,2023-02-03,151.75
205,03:15:00,2023-02-03,151.47222222222223
206,03:30:00,2023-02-03,151.19444444444446
207,03:45:00,2023-02-03,150.91666666666666
208,04:00:00,2023-02-03,150.97916666666666
209,04:15:00,2023-02-03,151.04166666666666
210,04:30:00,2023-02-03,151.10416666666666
211,04:45:00,2023-02-03,151.16666666666666
212,05:00:00,2023-02-03,151.57638888888889
213,05:15:00,2023-02-03,151.98611111111111
214,05:30:00,2023-02-03,152.39583333333334
215,05:45:00,2023-02-03,152.80555555555554
216,06:00:00,2023-02-03,153.52083333333334
217,06:15:00,2023-02-03,154.23611111111111
218,06:30:00,2023-02-03,154.95138888888889
219,06:45:00,2023-02-03,155.66666666666666
220,07:00:00,2023-02-03,156.31944444444446
221,07:15:00,2023-02-03,156.97222222222223
222,07:30:00,2023-02-03,157.625
223,07:45:00,2023-02-03,158.27777777777777
224,08:00:00,2023-02-03,158.31944444444446
225,08:15:00,2023-02-03,158.36111111111111
226,08:30:00,2023-02-03,158.40277777777777
227,08:45:00,2023-02-03,158.44444444444446
228,09:00:00,2023-02-03,158.76388888888889
229,09:15:00,2023-02-03,159.08333333333334
230,09:30:00,2023-02-03,159.40277777777777
231,09:45:00,2023-02-03,159.72222222222223
232,10:00:00,2023-02-03,160.18055555555554
233,10:15:00,2023-02-03,160.63888888888889
234,10:30:00,2023-02-03,161.09722222222223
235,10:45:00,2023-02-03,161.55555555555554
236,11:00:00,2023-02-03,162.01388888888889
237,11:15:00,2023-02-03,162.47222222222223
238,11:30:00,2023-02-03,162.93055555555554
239,11:45:00,2023-02-03,163.38888888888889
240,12:00:00,2023-02-03,163.45138888888889
241,12:15:00,2023-02-03,163.51388888888889
242,12:30:00,2023-02-03,163.57638888888889
243,12:45:00,2023-02-03,163.63888888888889
244,13:00:00,2023-02-03,163.52083333333334
245,13:15:00,2023-02-03,163.40277777777777
246,13:30:00,2023-02-03,163.28472222222223
247,13:45:00,2023-02-03,163.16666666666666
248,14:00:00,2023-02-03,163.25
249,14:15:00,2023-02-03,163.33333333333334
250,14:30:00,2023-02-03,163.41666666666666
251,14:45:00,2023-02-03,163.5
252,15:00:00,2023-02-03,163.23611111111111
253,15:15:00,2023-02-03,162.97222222222223
254,15:30:00,2023-02-03,162.70833333333334
255,15:45:00,2023-02-03,162.44444444444446
256,16:00:00,2023-02-03,162.40972222222223
257,16:15:00,2023-02-03,162.375
258,16:30:00,2023-02-03,162.34027777777777
259,16:45:00,2023-02-03,162.30555555555554
260,17:00:00,2023-02-03,162.1875
261,17:15:00,2023-02-03,162.06944444444446
262,17:30:00,2023-02-03,161.95138888888889
263,17:45:00,2023-02-03,161.83333333333334
264,18:00:00,2023-02-03,162.21527777777777
265,18:15:00,2023-02-03,162.59722222222223
266,18:30:00,2023-02-03,162.97916666666666
267,18:45:00,2023-02-03,163.36111111111111
268,19:00:00,2023-02-03,163.74305555555554
269,19:15:00,2023-02-03,164.125
270,19:30:00,2023-02-03,164.50694444444446
271,19:45:00,2023-02-03,164.8888888888889
272,20:00:00,2023-02-03,163.66666666666666
273,20:15:00,2023-02-03,162.44444444444446
274,20:30:00,2023-02-03,161.22222222222223
275,20:45:00,2023-02-03,160.0
276,21:00:00,2023-02-03,158.88888888888889
277,21:15:00,2023-02-03,157.77777777777777
278,21:30:00,2023-02-03,156.66666666666666
279,21:45:00,2023-02-03,155.55555555555554
280,22:00:00,2023-02-03,154.04861111111111
281,22:15:00,2023-02-03,152.54166666666666
282,22:30:00,2023-02-03,151.03472222222223
283,22:45:00,2023-02-03,149.52777777777777
284,23:00:00,2023-02-03,149.11805555555554
285,23:15:00,2023-02-03,148.70833333333334
286,23:30:00,2023-02-03,148.29861111111111
287,23:45:00,2023-02-03,147.88888888888889
288,00:00:00,2023-02-04,147.51388888888889
